sr. No,NRCan.Reference,Brand,Model,AEC,Type,Defrost,FreezerLoc,TotalVol,SizeCategory,DoorIce,RefVol,FreezerVol,Ratio,
28,222014,Maytag,MTB1502AEW,380,Refrigerator,Automatic,Top,425.4,7,No,305.2,120.2,0.393840105,
66,222132,Maytag,PCF-8200ACW,356,Refrigerator,Automatic,Top,229.5,3,No,175.6,53.9,0.306947608,
88,223406,Maytag,MTB1891ARW,480,Refrigerator,Automatic,Top,513.6,8,No,369,144.6,0.391869919,
108,223426,Maytag,MTB1895AEW,409,Refrigerator,Automatic,Top,513.6,8,No,369,144.6,0.391869919,
166,227611,Maytag,MTB2191ARW,515,Refrigerator,Automatic,Top,595.7,10,No,426.9,168.8,0.395408761,
195,276618,Maytag,MTB2195AEW,435,Refrigerator,Automatic,Top,595.7,10,No,426.9,168.8,0.395408761,
330,2117018,Maytag,MURM24****,312,Compact refrigerator,Automatic,No freezer,160,2,No,160,0,0,
1329,9975841,Maytag,MFI2269****,536,Refrigerator,Automatic,Bottom,614.75,10,Yes,449.67,165.09,0.3671359,
2263,222129,Maytag,PCF-2700ACW,318,Compact refrigerator,Manual,No freezer,76.5,1,No,76.5,0,0,
2477,16513757,Maytag,MRT711SMF***,394,Refrigerator,Automatic,Top,601.4,10,No,427.9,173.6,0.405702267,
2478,16513758,Maytag,MRT118FFF***,366,Refrigerator,Automatic,Top,513.9,8,No,369.8,144.1,0.389670092,
2479,16513759,Maytag,MRT519SFF***,374,Refrigerator,Automatic,Top,542,9,No,396.4,145.5,0.367053481,
2480,16513760,Maytag,MFI2269FR***,536,Refrigerator,Automatic,Bottom,614.8,10,Yes,449.7,165.1,0.367133645,
2481,16513761,Maytag,MFX2676FR***,582,Refrigerator,Automatic,Bottom,741.9,12,Yes,521,220,0.422264875,
2482,16513762,Maytag,MFT2776FE***,528,Refrigerator,Automatic,Bottom,758.9,13,Yes,538.9,220,0.408239005,
2483,16513763,Maytag,MFB2055FR***,452,Refrigerator,Automatic,Bottom,557.3,9,No,377.7,179.5,0.475244903,
2486,16513766,Maytag,MBF2258FE***,423,Refrigerator,Automatic,Bottom,625,10,No,442.3,182.6,0.412841962,
2487,16513767,Maytag,MFF2558FE***,449,Refrigerator,Automatic,Bottom,713.3,12,No,502.6,210.7,0.419220056,
2488,16513769,Maytag,MFC2062FE***,405,Refrigerator,Automatic,Bottom,566.3,9,No,407.2,159.1,0.390717092,
2489,16513770,Maytag,MBB1957FE***,397,Refrigerator,Automatic,Bottom,528.7,9,No,366.4,162.3,0.442958515,
2493,16513776,Maytag,MFI2570FE***,508,Refrigerator,Automatic,Bottom,700.6,12,Yes,510,190.6,0.37372549,
2593,222128,Maytag,PCF-1700ACW,295,Compact refrigerator,Manual,No freezer,48.2,0,No,48.2,0,0,
2622,222131,Maytag,PCF-4400ACB,336,Compact refrigerator,Manual,No freezer,124.5,1,No,124.5,0,0,
2710,17141376,Maytag,MRT311FF**,388,Refrigerator,Automatic,Top,581,10,No,408.4,172.6,0.422624878,
2772,17687674,Maytag,MFF2258FE*,424,Refrigerator,Automatic,Bottom,626.1,10,No,443.4,182.6,0.411817772,
141,227547,Maytag,PCF-8200ACW,356,Refrigerator,Automatic,Top,229.5,3,No,175.6,53.9,0.306947608,
143,227549,Maytag,PTB1826ARW,480,Refrigerator,Automatic,Top,513.6,8,No,369,144.6,0.391869919,
2266,227544,Maytag,PCF-2700ACW,318,Compact refrigerator,Manual,No freezer,76.5,1,No,76.5,0,0,
2594,227543,Maytag,PCF-1700ACW,295,Compact refrigerator,Manual,No freezer,48.2,0,No,48.2,0,0,
2626,227545,Maytag,PCF-4400ACB,336,Compact refrigerator,Manual,No freezer,124.5,1,No,124.5,0,0,
1226,9573557,Microchill,MCH3G14,240,Compact refrigerator,Partial automatic,Inside,87,1,No,62,25,0.403225806,
59,14082446,Microfridge,3.1MF4R,210,Compact refrigerator,Partial automatic,Inside,87,1,No,62.09,24.71,0.397970688,
1256,9874078,Microfridge,4.8MF4R,346,Compact refrigerator,Automatic,Top,134.5,2,No,95.71,38.79,0.405286804,
1581,9874066,Microfridge,2.3MF4R,223,Compact refrigerator,Automatic,No freezer,64.56,0,No,64.56,0,0,
1773,9874075,Microfridge,3.6MF4RA,262,Compact refrigerator,Automatic,Top,101.66,1,No,93.73,7.93,0.084604716,
1829,12592571,Microfridge,10.3RMF4R,297,Refrigerator,Automatic,Top,291.5,4,No,223.5,68,0.304250559,
2283,9874069,Microfridge,3.0MF4R,319,Compact refrigerator,Partial automatic,Inside,84.1,1,No,61.16,22.94,0.375081753,
60,14398401,Microfridge,3.1MF4*,210,Compact refrigerator,Partial automatic,Inside,87,1,No,62.09,24.71,0.397970688,
957,9571832,Microfridge,2.5MF4RE,227,Compact refrigerator,Automatic,No freezer,69.8,1,No,69.8,0,0,
586,13232963,Midea,HS-57LB,207,Compact refrigerator,Manual,No freezer,44,0,No,44,0,0,
698,17699124,Midea,299-5786,220,Compact refrigerator,Manual,No freezer,93,1,No,93,0,0,
921,8953705,Midea,HD-165FW(SZ),347,Compact refrigerator,Automatic,Top,127,2,No,92,35.2,0.382608696,
1091,9574427,Midea,HD-368RWESS,423,Refrigerator,Automatic,Bottom,289,4,No,202,87,0.430693069,
1245,11817791,Midea,WHD-87LB1B,213,Compact refrigerator,Manual,No freezer,67,0,No,67,0,0,
1970,15201615,Midea,WHD-113FB1,270,Compact refrigerator,Partial automatic,Inside,87,1,No,61,26,0.426229508,
2119,11817790,Midea,WHD-127F*,290,Compact refrigerator,Partial automatic,Inside,98,1,No,68,30,0.441176471,
362,2779245,Miele,KFN14943SDED,431,Refrigerator,Automatic,Bottom,438,7,No,319,119,0.373040752,
882,8880547,Miele,KFN9855IDE,380,Refrigerator,Automatic,Bottom,399,6,No,278,122,0.438848921,
1670,10990390,Miele,KFNS37432ID,395,Refrigerator,Automatic,Bottom,266,4,No,198,68,0.343434343,
1671,10990391,Miele,KFN12823SDEDT/CS,395,Refrigerator,Automatic,Bottom,325,5,No,231,94,0.406926407,
1672,10990392,Miele,KFN14943SD,379,Refrigerator,Automatic,Bottom,439,7,No,320,119,0.371875,
